station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
BDL,12/1/2018 0:00,-72.6825,41.9381,,,,310,3,,30.1,,5,,CLR,,,,,,,,BR,,,,,,,,KBDL 010500Z AUTO 31003KT 5SM BR CLR M01/M02 A3010 RMK T10101020 MADISHF
BDL,12/1/2018 0:05,-72.6825,41.9381,,,,350,3,,30.1,,4,,CLR,,,,,,,,BR,,,,,,,,KBDL 010505Z AUTO 35003KT 4SM BR CLR M02/M02 A3010 RMK T10201020 VRB03KT  MADISHF
BDL,12/1/2018 0:10,-72.6825,41.9381,,,,0,0,,30.1,,5,,CLR,,,,,,,,BR,,,,,,,,KBDL 010510Z AUTO 00000KT 5SM BR CLR M02/M02 A3010 RMK T10201020 MADISHF
BDL,12/1/2018 0:15,-72.6825,41.9381,,,,0,0,,30.1,,5,,CLR,,,,,,,,BR,,,,,,,,KBDL 010515Z AUTO 00000KT 5SM BR CLR M02/M02 A3010 RMK T10201020 MADISHF
BDL,12/1/2018 0:20,-72.6825,41.9381,,,,0,0,,30.1,,5,,CLR,,,,,,,,BR,,,,,,,,KBDL 010520Z AUTO 00000KT 5SM BR CLR M02/M02 A3010 RMK T10201020 MADISHF
BDL,12/1/2018 0:25,-72.6825,41.9381,,,,20,3,,30.1,,5,,CLR,,,,,,,,BR,,,,,,,,KBDL 010525Z AUTO 02003KT 5SM BR CLR M02/M02 A3010 RMK T10201020 MADISHF
BDL,12/1/2018 0:30,-72.6825,41.9381,,,,10,3,,30.1,,5,,CLR,,,,,,,,BR,,,,,,,,KBDL 010530Z AUTO 01003KT 5SM BR CLR M02/M02 A3010 RMK T10201020 MADISHF
BDL,12/1/2018 0:35,-72.6825,41.9381,,,,10,3,,30.1,,5,,CLR,,,,,,,,BR,,,,,,,,KBDL 010535Z AUTO 01003KT 5SM BR CLR M02/M02 A3010 RMK T10201020 MADISHF
BDL,12/1/2018 0:40,-72.6825,41.9381,,,,0,0,,30.1,,5,,CLR,,,,,,,,BR,,,,,,,,KBDL 010540Z AUTO 00000KT 5SM BR CLR M02/M02 A3010 RMK T10201020 MADISHF
BDL,12/1/2018 0:45,-72.6825,41.9381,,,,0,0,,30.11,,5,,CLR,,,,,,,,BR,,,,,,,,KBDL 010545Z AUTO 00000KT 5SM BR CLR M03/M03 A3011 RMK T10301030 MADISHF
BDL,12/1/2018 0:50,-72.6825,41.9381,,,,0,0,,30.11,,5,,FEW,,,,7000,,,,BR,,,,,,,,KBDL 010550Z AUTO 00000KT 5SM BR FEW070 M02/M02 A3011 RMK T10201020 MADISHF
BDL,12/1/2018 0:51,-72.6825,41.9381,28,28,100,300,3,0,30.11,1019.7,5,,FEW,,,,7000,,,,BR,0.01,,0.01,,,,24.12,KBDL 010551Z 30003KT 5SM BR FEW070 M02/M02 A3011 RMK AO2 SLP197 I1001 I6001 T10221022 10017 21028 51010
BDL,12/1/2018 0:55,-72.6825,41.9381,,,,290,4,,30.11,,4,,CLR,,,,,,,,BR,,,,,,,,KBDL 010555Z AUTO 29004KT 4SM BR CLR M03/M03 A3011 RMK T10301030 MADISHF
BDL,12/1/2018 1:00,-72.6825,41.9381,,,,280,3,,30.11,,4,,CLR,,,,,,,,BR,,,,,,,,KBDL 010600Z AUTO 28003KT 4SM BR CLR M03/M03 A3011 RMK T10301030 MADISHF
BDL,12/1/2018 1:05,-72.6825,41.9381,,,,0,0,,30.11,,4,,CLR,,,,,,,,BR,,,,,,,,KBDL 010605Z AUTO 00000KT 4SM BR CLR M03/M03 A3011 RMK T10301030 MADISHF
BDL,12/1/2018 1:10,-72.6825,41.9381,,,,0,0,,30.11,,4,,CLR,,,,,,,,BR,,,,,,,,KBDL 010610Z AUTO 00000KT 4SM BR CLR M03/M03 A3011 RMK T10301030 MADISHF
BDL,12/1/2018 1:15,-72.6825,41.9381,,,,0,0,,30.11,,4,,CLR,,,,,,,,BR,,,,,,,,KBDL 010615Z AUTO 00000KT 4SM BR CLR M03/M03 A3011 RMK T10301030 MADISHF
BDL,12/1/2018 1:20,-72.6825,41.9381,,,,280,3,,30.12,,4,,CLR,,,,,,,,BR,,,,,,,,KBDL 010620Z AUTO 28003KT 4SM BR CLR M02/M03 A3012 RMK T10201030 MADISHF
BDL,12/1/2018 1:25,-72.6825,41.9381,,,,270,4,,30.12,,4,,CLR,,,,,,,,BR,,,,,,,,KBDL 010625Z AUTO 27004KT 4SM BR CLR M03/M03 A3012 RMK T10301030 MADISHF
BDL,12/1/2018 1:30,-72.6825,41.9381,,,,290,4,,30.12,,4,,CLR,,,,,,,,BR,,,,,,,,KBDL 010630Z AUTO 29004KT 4SM BR CLR M04/M04 A3012 RMK T10401040 MADISHF
